gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe,Significance,neg_log10_padj
AADACP1,-0.026114923260526016,0.266569703380069,-0.026114923260526016,0.26656970338006913,0.3963916820181208,0.5026401889255694,Not Significant,0.4018754674348267
AADAT,-0.26032414969513107,0.09858618904986055,-0.25744707063904904,0.1015816948908549,0.20126592228172224,0.36310350087471044,Not Significant,0.6962297522740788
AAED1,-0.3482625871077584,0.005993856238729546,-0.14365378473121473,0.1375705481603353,0.024497794548908023,0.40136629858869555,Not Significant,1.610873011894751
AAGAB,0.2594292324587338,0.06409847421233594,-0.042143200100679144,0.7255390713104826,0.14479155944510014,0.8707992397315261,Not Significant,0.8392567543906665
AAK1,0.16196195407867925,0.03491274694149573,-0.07339312959284339,0.2647606870648897,0.09227661005201689,0.5026401889255694,Not Significant,1.034908368450308
AAMDC,1.13977034728638,0.00014997922014267447,0.15753411973075065,0.28713324562941045,0.0018602867660362486,0.5229181581760348,Upregulated,2.7304201034661904
AAMP,0.07924890039733974,0.5214708164625346,0.17771600165939405,0.1777641909959494,0.6464485043445681,0.44426757168928754,Not Significant,0.1894660650136477
AANAT,-0.05882285340922781,0.7054156907315714,0.05111974056355876,0.7421357657280532,0.8027658650746915,0.8810634269223739,Not Significant,0.09541110270782135
AAR2,0.131808197323109,0.20908398202263023,0.2601141710405936,0.032148160356706784,0.3553708792114029,0.32416023543384925,Not Significant,0.44931816323853935
AARD,-0.04008906556876503,0.28701439634917963,-0.04065082642843955,0.2809540607523676,0.4178867464756007,0.517487388837946,Not Significant,0.3789414025433514
AARS,0.7894036711861601,8.437631492326915e-05,0.20694107549143362,0.0495507572081933,0.0012796374792260303,0.3248847789841273,Upregulated,2.8929130483763954
AARS2,-0.09867642825595901,0.4746083832316019,0.1909294662385263,0.19051753751376413,0.6032249570675059,0.4570030471726652,Not Significant,0.21952069881519629
AARSD1,-0.5337422248796765,0.020516407960487485,0.1597905367661437,0.3859491212912036,0.0614249634305641,0.6109555877011928,Downregulated,1.2116550934056176
AASDH,0.37177711892875154,0.07229216529161056,-0.1475420128990001,0.42066601673983506,0.15840705680886033,0.6369464906996998,Not Significant,0.8002254751146938
AASDHPPT,0.11587158804729739,0.540050847533535,-0.49209020310442203,0.032921344512459434,0.6636786939050162,0.32454990869255734,Not Significant,0.1780421243016175
AASS,0.005226749907246709,0.266569703380069,-1.286078556347201e-18,0.9999999999999998,0.3963916820181208,0.9999999999999998,Not Significant,0.4018754674348267
AATBC,0.062014313746756866,0.38147548140033205,0.062359790991924055,0.3790023189913602,0.5168286336897832,0.6063108907856186,Not Significant,0.28665343326958165
AATF,-0.10063814808300701,0.21883164166886412,0.06114418143159919,0.43609700810607976,0.36814116318281137,0.6476828484173933,Not Significant,0.43398561981583605
AATK,0.022757806583154946,0.6275082591322347,0.032681263135609984,0.4906098477672528,0.7373675592372999,0.6917453720750314,Not Significant,0.1323159732584442
AATK-AS1,3.928374531985659e-18,0.9999999999999998,0.0193298235818824,0.266569703380069,0.9999999999999998,0.5026401889255694,Not Significant,9.643274665532873e-17
ABALON,0.12783602511616385,0.5311573831223754,0.1763377753936974,0.3947974715102551,0.6559668154833386,0.618747360566884,Not Significant,0.18311813046733222
ABAT,0.13905452920341232,0.015931739551326086,0.022029704481942587,0.6173948980687436,0.050643604323379984,0.791128963548716,Not Significant,1.2954753929975975
ABCA1,-0.6482519877757522,0.0026851121664980718,-0.5566435329311057,0.005587862805048383,0.013585256300207394,0.2606654104500647,Downregulated,1.8669321637447442
ABCA10,0.04279912596691151,0.03474599795126886,-0.02365473878481595,0.18375803339254643,0.09192887350335709,0.45058780409567956,Not Significant,1.0365480616963394
ABCA11P,0.2842397288139996,0.033336877839350444,-0.2487152062348722,0.052903744274686394,0.08905089757291071,0.3248847789841273,Not Significant,1.050361698783582
ABCA12,0.006385736588307028,0.33588954392104836,0.009138095720475059,0.18510123107935,0.4696445041140566,0.45200287268909367,Not Significant,0.3282307555096753
ABCA13,0.00468062532637358,7.507971259106934e-07,-1.151700764216524e-18,0.999999999999996,9.536166272851794e-05,0.9999999999999998,Not Significant,4.020626185167547
ABCA17P,-0.021247502593827364,0.11652679059080927,-0.01316269490161105,0.29950267157443267,0.2288740334950496,0.5353742952898265,Not Significant,0.6404034766548695
ABCA2,-0.4759376159471271,0.004164173249270798,0.1376865362702363,0.24198880541249215,0.01873055143865545,0.5026401889255694,Not Significant,1.7274494365468225
ABCA3,1.2902110628472063,1.2699551911522562e-05,-0.018735644786227447,0.8563746383042773,0.00042308707552230905,0.9604545091111867,Upregulated,3.373570241307976
ABCA4,-0.0009960058518622987,0.9812458029489284,0.2017065210162372,0.0025464254088923047,0.9999999999999998,0.2207304299935557,Not Significant,9.643274665532873e-17
ABCA5,0.49721868459437685,0.03376094547297864,-0.35942148869461127,0.09499240444276098,0.0898948453487814,0.3557114617368044,Not Significant,1.0462652103887051
ABCA6,0.011474774703528184,0.26162328641868804,-0.00526242607625425,0.5905123925618133,0.3963916820181208,0.7713520682727871,Not Significant,0.4018754674348267
ABCA7,0.37812124806551217,0.015240265299948107,0.2734691327331555,0.051186843538508074,0.04910066097164891,0.3248847789841273,Not Significant,1.3089126615550826
ABCA8,0.01983115907740257,0.07013880608150334,0.009200929567909827,0.34684349621315513,0.15495093166212057,0.5771644986376404,Not Significant,0.8098058081662176
ABCA9,-0.004858417163947976,0.38903693812298734,-0.0006779172276308743,0.9011641512129374,0.5241777965516836,0.9884637201069583,Not Significant,0.2805213791149215
ABCB10,0.5531403173853219,0.0036022500445707963,-0.2170403955621652,0.11958570813417527,0.016921314573755175,0.3831183397747532,Upregulated,1.7715659007561562
ABCB11,0.005338050802549675,0.7206104690786554,0.01660027150315622,0.2878825219917867,0.8152387876197569,0.523737993417356,Not Significant,0.08871516554666604
ABCB4,-0.008631147806219777,0.2665697033800689,-0.00863114780621978,0.266569703380069,0.3963916820181208,0.5026401889255694,Not Significant,0.4018754674348267
ABCB5,-0.013983241887477293,0.5734470396581917,-0.0029166259356779647,0.9052510390036427,0.6929862144267146,0.9910835330645651,Not Significant,0.15927540472146454
ABCB6,0.4024724198425594,0.022262903149655403,0.3405388095662113,0.04132312217673712,0.06549597854386316,0.3248847789841273,Not Significant,1.183785364891054
ABCB7,-0.3050914874823495,0.02084183929827564,-0.12639079950911464,0.24502542207251982,0.062124713292937006,0.5026401889255694,Not Significant,1.2067356025335845
ABCB8,0.2286788962720095,0.08216770149885115,0.35316570383327156,0.01813772697195367,0.17492163340161057,0.31231311396833367,Not Significant,0.7571564759075937
ABCB9,0.045165081806082495,0.758037982063243,0.21859422695472064,0.16961197030663697,0.8459646526290021,0.43625410447312474,Not Significant,0.07264778292892271
ABCC1,-0.5554911324609022,0.001121852435578507,0.1272148832472216,0.23031470640940016,0.007242739515259758,0.5014231615555207,Downregulated,2.1400971338962864
ABCC10,0.2288238895341834,0.0741524629691027,0.19712500998347418,0.11220209908286878,0.1614389415194487,0.3747457860100749,Not Significant,0.7919916985660944
