Name,B_cells,CD8_T_cells,Macrophages,NK_cells,T_cells,Risk_Group
TCGA-2V-A95S,0.40552110414467346,0.48330911994569975,0.3201954109191905,0.35729629482355507,0.47044340643790006,High_Immune
TCGA-2Y-A9GS,0.18179695829262874,0.2811204859695312,0.3198355907572478,0.2814470894183713,0.3389568191914609,Low_Immune
TCGA-2Y-A9GT,0.36186664166846066,0.4566339192896141,0.07449976983341951,0.33719090184008726,0.4295407846948106,High_Immune
TCGA-2Y-A9GU,0.27289172307520937,0.3177818373140703,0.23508840796465674,0.28513390135414207,0.33329664213132837,Low_Immune
TCGA-2Y-A9GV,0.28581440074393794,0.30454764082893737,0.3085730628046465,0.2966971813776109,0.3430158414783645,Low_Immune
TCGA-2Y-A9GW,0.3438589367505775,0.28495542207266794,0.2852255762793721,0.2798562105682079,0.3834100118064516,Low_Immune
TCGA-2Y-A9GX,0.35304060510012525,0.38480566209163963,0.34412310506954524,0.34000346229870215,0.4131198812333316,High_Immune
TCGA-2Y-A9GY,0.4064738467345505,0.4493904102892699,0.27850402804946583,0.29108433944738776,0.43812802950012636,High_Immune
TCGA-2Y-A9GZ,0.2771654056653252,0.25884486084611863,0.2515981194219195,0.2872687844388541,0.298510926404701,Low_Immune
TCGA-2Y-A9H0,0.31523402920942595,0.4316325370706306,0.298697275523913,0.28670442735577667,0.3939199062347969,High_Immune
TCGA-2Y-A9H1,0.3034951614974646,0.3856431303068039,0.018281154482461443,0.2773620418366667,0.40424632184046516,High_Immune
TCGA-2Y-A9H2,0.2592767115393393,0.32628224514676046,0.2559305728114126,0.3063774772923752,0.3307464670771104,High_Immune
TCGA-2Y-A9H3,0.4260934946300824,0.4023756715049242,0.3335222626719954,0.3100895340022634,0.4352763636443491,High_Immune
TCGA-2Y-A9H4,0.24751423381085,0.32128051237144273,0.017941536912645457,0.30284813006162303,0.3419502803824524,Low_Immune
TCGA-2Y-A9H5,0.34443347358187126,0.31279959095249094,0.0018428138564807266,0.3150935624200263,0.3613413550149091,Low_Immune
TCGA-2Y-A9H6,0.35469880586812563,0.3286271112573502,0.30144551849228607,0.31083456323693015,0.39009962060592224,High_Immune
TCGA-2Y-A9H7,0.3095909259105303,0.29774791437618164,-0.002471960527622922,0.23732594844662813,0.36651341321053543,Low_Immune
TCGA-2Y-A9H8,0.3255579363328693,0.4037067143028398,0.3216105787018089,0.31247303488221,0.41402217534849206,High_Immune
TCGA-2Y-A9H9,0.20321803820271125,0.3302325673308737,0.04222459965761007,0.30478410769338854,0.3283409026334222,High_Immune
