gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe
ACAD11,0.6391810598542271,0.0002819831031173766,-0.14470699323966862,0.13864528075299795,0.002802973345661314,0.4025330398834242
ACADSB,0.8047970900159064,0.0026534507978908657,-0.1414085995745957,0.4204255656213108,0.013481004192617758,0.6367657829756356
ACBD7,0.7040150381373802,0.002185947145879515,0.23936735527540956,0.13258550146708575,0.011762569372796803,0.3962300316208322
ACCS,0.5295489770652781,0.0003114859400342352,0.12123716441941908,0.14091979020120313,0.002998462022750611,0.4052551828270448
ACER2,0.6210156282885798,0.0002581551305342773,0.2523457231393156,0.02074837153893588,0.002643705116165695,0.31258914563455403
ACER3,0.6203747617026213,0.005315481207937339,-0.25006225988065056,0.13669028645780115,0.0224371454634604,0.4004742214335715
ACIN1,-0.7726361605922059,9.824352158037351e-06,0.0568303390269859,0.3558827698471067,0.0003615440663390406,0.5866468239016944
ACKR3,-0.9292317867691321,4.5945935246629274e-05,0.33023436930714567,0.01007815959428023,0.0009033765585448384,0.2897993278339312
ACLY,-0.5324281192465854,0.00026417534255755547,0.15226174430738648,0.0718359530618134,0.0026843150085431606,0.33667396958995355
ACSL5,-0.7008314774675063,0.00038198222587905754,0.06708197149949978,0.5201759048577412,0.0034546415845599556,0.7176806270089057
ACSS2,1.053367192199836,6.97882138185455e-05,0.27560795514195907,0.04454936474212099,0.001139666456018926,0.3248847789841273
ACTA2,1.2093152931958904,2.3390861038858202e-05,0.5237821683090048,0.0022834630006440975,0.0005948937784700599,0.2145014711446053
ACTB,-1.2713407856944974,0.00014804888762130514,0.023629743792669227,0.8800752203731967,0.001847076503815601,0.9763325291617759
ACTC1,-1.1490972975852805,5.4572357998342714e-05,0.22263520280924806,0.09799333591361262,0.0009843475619227696,0.36018852770497883
ACTL10,0.6073439543198332,0.001531412988782131,-0.01729204988578404,0.8809514489092914,0.00904701019535697,0.976550670726654
ACTL8,-0.9989083506674586,0.00032014217566647685,-0.1617393747725332,0.27786597025970955,0.003060847042833174,0.5142333902711815
ACTN1,-0.5656493674224671,0.0014284466331458117,0.14074337489007327,0.21557100733526188,0.008614008875778732,0.4853266524079197
ACTN4,-1.0028548724080577,6.030992378740331e-05,0.22262859747255975,0.06969237931168644,0.0010510836936253318,0.3352743910676966
ACVR1,0.6767640554207797,4.195859358609562e-05,0.15548522737558196,0.05111110200722824,0.0008545909539974263,0.3248847789841273
ACYP2,0.5624634758397498,0.026007118983265656,0.14804116666690284,0.4686793563981848,0.07377019326984008,0.6744666968132627
ADA,-0.9888390188017372,0.0006294956918927974,0.1704289937796699,0.3051919999835878,0.004769459902534906,0.5401988434368182
ADAM17,0.5343861348950587,0.003779117579376605,-0.2346667063599345,0.09111899773440996,0.01747662718755957,0.35304214673915063
ADAMTS16,-0.9810646528462874,1.6639980626421846e-05,-0.1394228372707219,0.1280097034928862,0.0004916724485577634,0.39020620479895896
ADAMTSL4,-0.5231380018871705,0.006731693170766894,-0.04243963376497125,0.7536975166258439,0.02666146992059907,0.8888205565615523
ADAP2,0.6452309598364544,4.633765116150662e-05,-0.05066606865179423,0.4454081866125909,0.000904499081903902,0.6548119711553966
ADAT3,-0.9823549561130935,0.0010285351952308039,0.1950121194297233,0.28392575073393417,0.0068506586747164614,0.5200803185702209
ADCK2,0.9174921441721771,0.002679970422909606,0.18844700690123278,0.35202300301419975,0.01357426171005724,0.5825643073769193
ADCK4,-0.6433886369683325,0.004179473146284414,0.16088189598212022,0.3051535121518876,0.018768122721714197,0.5401988434368182
ADCK5,0.5380820925446006,0.006838948678766612,0.41961630761081326,0.0198931756448655,0.02696946341842202,0.31231311396833367
ADCY7,-0.5287020870250266,0.0009813751586075963,-0.16831828750319602,0.10560099534898075,0.006606312716574507,0.36947812584661954
ADGRF4,-0.6413990307109347,0.0006564286744563162,-0.4377319961795158,0.004550571356581021,0.004906448898980802,0.2557872176377372
ADGRG1,-1.2530815066390835,7.665046247818165e-06,0.5642519227417134,0.000692469719486309,0.00031363242924517727,0.17569309217733103
ADGRL1,-1.050872190217117,3.5244462210917e-05,0.06550328805325514,0.5219697086308079,0.000763769210708142,0.7191610137472803
ADHFE1,0.6756006263424541,0.001095379513048979,0.0031439105014384916,0.9791438964863979,0.007112203291827762,0.9999999999999998
ADM,-1.0816819996872546,1.015288808777852e-05,-0.4184112748321273,0.00195759404788046,0.0003718027550556129,0.21022831424141006
ADM2,2.0915894071045904,1.5814374092660732e-06,0.2428931357530226,0.07463257047404963,0.0001357957287111572,0.33921219391509505
ADPRM,0.7330445255484507,0.0017611806566298518,0.1665920871141959,0.27050658758972324,0.010051631924482255,0.5068074325408748
ADSSL1,-0.7444561446762197,0.005409484194469662,0.28763249390076223,0.15208493741082107,0.022694692494875168,0.4192214829192663
AES,-0.5834985190033714,0.004097364448012501,0.2583246533969653,0.09334117648768252,0.018490203738995473,0.35485618077451536
AGA,0.5381427713084044,0.008560395286930037,0.10465252427780937,0.483446418535188,0.03177143461809058,0.6865622327050694
AGAP2-AS1,-0.5208044997201414,0.007697447985035751,0.14295176575583296,0.3219636783039857,0.029385582059341244,0.5559588062858666
AGFG2,-0.5440859060115606,0.005322575031772629,0.25158045719924615,0.09639286073627777,0.0224619052448365,0.3576116476402678
AGMAT,-0.5515424925105388,0.0018526659200235448,0.16392813530219288,0.16714665997562686,0.010410218026798966,0.43390376772842154
AGO4,0.5551837415473171,0.00030903305424290727,-0.14771039774566852,0.09593113765231157,0.002977984490043611,0.35741220240287425
AGPAT4,-0.5765918720773785,0.0011390698759589839,-0.23816627050912,0.05324259905194693,0.007328029557259872,0.3248847789841273
AHCYL2,0.7402559845729517,1.4110939409867072e-05,0.17099615286196498,0.025564984717219172,0.00044729476916199087,0.31941478201802187
AHDC1,-0.5323596607639818,0.0004880610088858344,0.07211695363874511,0.39126617151931775,0.004054637682697989,0.6156980364009569
