Gene,log2FC,pvalue,padj,plot_color
THSD7A,0.7356911713748612,0.001993346056539343,0.006294982387164094,grey
LIG3,1.024481477840242,5.1045531532283064e-18,1.4375490962445702e-16,re
RPAP3,0.6127383671085102,2.3592900031705085e-09,2.0184440913488295e-08,grey
ACSM3,-2.3003336483319234,2.328260509353896e-18,6.927247846481751e-17,b
REXO5,1.5424240932249347,2.8694414441864012e-18,8.416779799791437e-17,re
CIAPIN1,0.7118994114506315,4.1920287362756154e-11,4.556360011430272e-10,grey
SPPL2B,0.956667063122905,5.2028209928684236e-20,1.9289381967322098e-18,grey
FAM214B,0.6618166382309183,1.6439318687724737e-09,1.4329208547427869e-08,grey
COPZ2,-0.3034879272794806,0.0791663664174768,0.15507819183912672,grey
PRKAR2B,-2.294586488265183,4.512939721749166e-17,1.1117938105958406e-15,b
MSL3,0.5558856533326479,1.0821827758511001e-07,7.261491436533852e-07,grey
CREBBP,0.24008416088252757,0.04956103799046824,0.10489781880694912,grey
TSPOAP1,0.42531902382497666,0.04805005293342297,0.10217082428490784,grey
MPO,-1.0941494521507664,2.7254914089583515e-06,1.4725483140632035e-05,b
PON1,-1.8864205746046143,1.1557784355742013e-07,7.720457750466967e-07,b
GCFC2,0.20650528986897668,0.039016115868866726,0.08558173345255068,grey
WDR54,0.8733987648347791,2.676846414085801e-06,1.4486115849276859e-05,grey
CROT,0.09669192338437953,0.5445809181596858,0.6622521660445548,grey
ABCB4,-1.0652834356566647,0.0004517306856639634,0.001640967715168016,b
KMT2E,0.4394803227985883,0.0019451861857942186,0.006159429002964925,grey
RHBDD2,0.33176743648266366,0.001734623308030841,0.005558768733709503,grey
SOX8,0.3067079796964462,0.2061545805737119,0.33284451728454156,grey
IBTK,0.15460389004625327,0.2088211548147435,0.33608159008706223,grey
ZNF195,0.9591709574553726,3.291623664945219e-14,5.437727625545108e-13,grey
MYCBP2,-0.10719717268494142,0.4551528472556997,0.59099952905057,grey
FBXL3,-0.4443767421766243,0.00029153274824396283,0.0011000666018173857,grey
ITGAL,0.21310065514198276,0.21915964240447974,0.34854802862688566,grey
PDK2,-0.21512796755567845,0.15611360831290344,0.267663282828412,grey
ITGA3,0.697435969112054,0.007474095571889977,0.02034737025537667,grey
ZFX,0.27792358033663767,0.05775443966405167,0.11921419980371696,grey
LAMP2,0.30021241713097324,0.020299404966620645,0.04874567923110635,grey
ITGA2B,-0.43331018724269177,0.05406025534585437,0.11275949606973022,grey
ASB4,-0.5580339097838114,0.07369405862094942,0.14607136658938846,grey
GDE1,0.13988956551878723,0.2563784648456159,0.39062088552368324,grey
REX1BD,0.6053553797240447,3.1906758434573564e-07,1.9817568089409264e-06,grey
CRLF1,1.2479212463070755,7.27788610169162e-05,0.0003076863123180723,re
OSBPL7,1.0684477569232789,1.1615875948181962e-07,7.756509406505374e-07,re
TMEM98,1.1499505287923182,4.17931346595724e-05,0.00018482115126981457,re
YBX2,0.6952687925958859,0.06163598665795842,0.12604672002613532,grey
KRT33A,-0.031469103771641097,0.2542965269398919,0.3879512967054198,grey
MAP3K14,0.13859612968470184,0.43902201621771564,0.5743333984925006,grey
ABCC8,0.9409213500188769,0.0025636567128776455,0.0078899480183483,grey
CACNG3,-0.32463454874851966,0.00030259339620014223,0.0011376971711573466,grey
TMEM132A,2.159852296911777,2.0804346397598338e-15,4.0437776913610673e-14,re
AP2B1,0.6067851341455539,2.873606421762696e-07,1.7994697416527741e-06,grey
TAC1,-0.661002153103784,0.00035734684691300666,0.0013250321585856922,grey
ZNF263,0.7363815597386032,6.293640417069602e-15,1.1434054251925196e-13,grey
CX3CL1,-0.26564540843079204,0.11459619577760244,0.2085699521203688,grey
SPATA20,0.4326422256744424,0.0016765524465920587,0.005391953858678624,grey
CACNA1G,0.880592212138341,0.0002758643394564448,0.0010454849270023596,grey
TNFRSF12A,0.6760365297357152,0.0012465562694973502,0.004127479804328322,grey
DLX6,1.4511095227904078,3.6872233483545894e-05,0.0001649885619818067,re
MAP3K9,1.6721724274829755,1.1420734974579691e-24,7.750152078110956e-23,re
RALA,0.786672208708285,1.7712787270988773e-14,3.028012513643297e-13,grey
BAIAP2L1,0.6358985426177979,0.001501750736920056,0.004887679714115567,grey
KDM7A,-0.5380013491241046,0.0001837744752967525,0.0007212139107333285,grey
ETV1,-0.0038621927954350576,0.9881147138404395,0.9908346175990128,grey
AGK,0.6498886482489366,1.0927031325423973e-07,7.323793672760858e-07,grey
ALDH3B1,0.6180945634023703,0.0009223144335575937,0.003141414962261452,grey
TTC22,0.4289448550954513,0.04115898261267162,0.08962062136451114,grey
