,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
10,prerank,Reactome_2022__Initial Triggering Of Complement R-HSA-166663,-0.9201515501932295,-2.3844806209758143,0.001,0.001,0.001,18/21,5.47%,FCN2;COLEC10;FCN3;MBL2;COLEC11;C1R;MASP1;C1S;MASP2;FCN1;IGLL5;C1QB;C1QC;C3;C1QA;C4B;C4A;GZMM
11,prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,-0.6278719796766606,-2.3676216109223307,0.001,0.001,0.001,112/200,9.28%,FOSB;FOS;CXCL6;PTGS2;EGR1;EGR2;NR4A3;RCAN1;SERPINE1;PHLDA1;NR4A1;EGR3;CXCL2;SOCS3;CCN1;ZFP36;GADD45B;IL1B;NR4A2;TRIB1;G0S2;DUSP1;DUSP5;SIK1;GCH1;ATF3;PLPP3;IL6;CCL2;ETS2;RHOB;CCL4;JUNB;CD69;F3;SERPINB8;NAMPT;KLF4;ID2;JUN;KLF10;MYC;AREG;CXCL1;NFIL3;LDLR;TLR2;BHLHE40;KYNU;KLF6;INHBA;SGK1;IL7R;KLF9;DUSP2;GEM;PFKFB3;GPR183;IER2;PNRC1;MAP2K3;PDE4B;FOSL1;SDC4;GADD45A;PDLIM5;MAFF;PLEK;MCL1;CEBPD;ABCA1;PPP1R15A;GFPT2;IL6ST;KDM6B;SLC2A3;PER1;TNF;CCND1;CXCL3;TIPARP;NFE2L2;BCL2A1;EDN1;PTGER4;HES1;CCL5;SERPINB2;REL;PLAUR;HBEGF;SAT1;PLK2;F2RL1;IRS2;KLF2;CDKN1A;SOD2;CD83;BCL3;IER3;B4GALT1;LIF;DNAJB4;ZC3H12A;ICAM1;NFAT5;ZBTB10;NFKBIA;TNC;IL18;SPSB1
12,prerank,MSigDB_Hallmark_2020__Bile Acid Metabolism,-0.66815487957271,-2.337168612710754,0.001,0.001,0.001,57/112,8.00%,CYP39A1;CYP8B1;AKR1D1;BBOX1;GNMT;ABCA8;ALDH8A1;SLC27A5;NR1I2;TTR;APOA1;ACSL1;HSD17B6;AQP9;SULT1B1;HAO1;AGXT;AR;SLC27A2;EPHX2;NR3C2;RBP1;SCP2;NR0B2;ABCA6;CAT;GC;BMP6;CH25H;DIO1;PIPOX;HSD3B1;ABCG8;ABCA9;MLYCD;CYP7B1;PEX11G;CYP27A1;PHYH;ACSL5;SERPINA6;ABCG4;ABCA1;LONP2;ALDH9A1;ISOC1;PECR;PXMP2;ABCD3;NUDT12;SOD1;NR1H4;SLCO1A2;PEX13;RETSAT;CYP46A1;IDH2
13,prerank,KEGG_2021_Human__Tryptophan metabolism,-0.7956215253787668,-2.3136644071395382,0.001,0.001,0.001,27/42,6.81%,CYP1A2;IDO2;AADAT;CYP1A1;INMT;TDO2;KMO;ALDH8A1;AOX1;AOC1;ALDH2;EHHADH;HAAO;CAT;ALDH1B1;ACAT1;GCDH;ACMSD;KYNU;ECHS1;DHTKD1;DDC;MAOB;ALDH9A1;HADH;MAOA;ACAT2
14,prerank,"KEGG_2021_Human__Glycine, serine and threonine metabolism",-0.7761117357666115,-2.293236869937435,0.001,0.001,0.001,26/39,6.75%,BHMT;SDS;GNMT;AGXT2;DMGDH;PHGDH;CBSL;AGXT;CTH;DAO;SARDH;PSAT1;SHMT1;GATM;ALAS2;ALAS1;PIPOX;GRHPR;GLDC;MAOB;CBS;GAMT;GLYCTK;MAOA;AOC3;GCAT
15,prerank,Reactome_2022__Xenobiotics R-HSA-211981,-0.8888979131091416,-2.2798994005038535,0.001,0.001,0.001,15/23,2.89%,CYP1A2;CYP3A4;CYP2A7;CYP2A6;CYP2E1;CYP2C8;CYP2B6;CYP2C19;CYP1A1;CYP2C9;CYP3A43;CYP2C18;CYP2A13;CYP2J2;CYP3A7-CYP3A51P
16,prerank,KEGG_2021_Human__Staphylococcus aureus infection,-0.6633733046788537,-2.2595913685236284,0.001,0.001,0.001,42/89,9.22%,KRT19;FCGR2B;FPR2;MBL2;SELP;PLG;FPR1;DSG1;FCGR3B;C1R;MASP1;FGG;DEFA3;FCAR;IL10;C1S;MASP2;FCGR3A;CFI;DEFB1;C1QB;CAMP;C1QC;CFD;C3;C1QA;C5;C5AR1;C4B;FPR3;C4A;HLA-DOA;CFH;DEFA4;KRT36;HLA-DPA1;KRT27;C3AR1;ICAM1;HLA-DQA1;PTAFR;SELPLG
17,prerank,KEGG_2021_Human__Drug metabolism,-0.6579526277116973,-2.2444883481523354,0.001,0.001,0.001,48/106,4.84%,CYP1A2;CYP3A4;NAT2;CYP2A7;CYP2A6;ADH4;CYP2E1;CYP2C8;CYP2B6;CYP2C19;ADH1C;UGT1A4;ADH1B;CYP2C9;UGT2B7;GSTA2;GSTM5;ADH1A;UGT2B10;GSTM1;UGT2B17;AOX1;UGT2A1;UGT1A1;CDA;XDH;ADH6;DPYS;UGT1A3;FMO3;UGT1A9;GSTA1;UGT2B15;UPB1;FMO2;UPP2;MPO;NAT1;GSTT2B;UGT2A3;ADH7;DPYD;CYP2D7;MGST1;FMO4;FMO5;CES1;MAOB
18,prerank,Reactome_2022__Regulation Of Complement Cascade R-HSA-977606,-0.7397812930481759,-2.20741932998154,0.001,0.001,0.001,29/45,6.67%,CFHR3;C8A;CR1;CFHR4;C8B;C1R;CFHR5;C4BPA;C1S;CFI;SERPING1;CPB2;IGLL5;PROS1;C1QB;CFHR2;C1QC;C3;CD81;C1QA;CLU;C5;C5AR1;C4B;CFHR1;C4A;CFH;VTN;ELANE
19,prerank,KEGG_2021_Human__Bile secretion,-0.6476681565209794,-2.1475263614397986,0.001,0.001,0.001,38/90,4.85%,CYP3A4;SLC5A1;SLCO1B3;CFTR;KCNN2;SLC22A1;SLC10A1;UGT1A4;UGT2B7;UGT2B10;ADCY1;SLC27A5;UGT2B17;UGT2A1;UGT1A1;AQP4;ABCB11;AQP9;SULT2A1;SLC22A7;SLC4A4;SLCO1B1;UGT1A3;UGT1A9;CA2;UGT2B15;ABCG2;NR0B2;ABCB4;ABCG8;LDLR;UGT2A3;SLC51A;ATP1B2;ADCY5;SLCO1B7;ABCG5;BAAT
